Row,Col,Kzone
48,34,7
49,34,7
50,34,7
51,34,7
52,34,7
53,34,7
54,34,7
55,34,7
56,34,7
57,34,7
58,34,8
59,34,8
60,34,8
61,34,8
62,34,8
63,34,8
64,34,8
65,34,8
66,34,8
67,34,8
68,34,8
69,34,8
70,34,8
71,34,8
72,34,8
73,34,8
74,34,8
75,34,8
76,34,8
77,34,8
78,34,8
79,34,8
80,34,8
81,34,8
82,34,8
83,34,8
84,34,8
85,34,8
86,34,8
87,34,8
88,34,8
89,34,8
90,34,8
91,34,8
92,34,8
93,34,8
94,34,11
95,34,11
96,34,11
97,34,11
98,34,11
99,34,11
100,34,11
101,34,11
102,34,11
103,34,11
104,34,11
105,34,11
106,34,11
107,34,11
108,34,11
109,34,11
110,34,11
111,34,11
112,34,11
113,34,11
114,34,11
115,34,11
64,35,8
65,35,8
66,35,8
67,35,8
68,35,8
69,35,8
70,35,8
71,35,8
72,35,8
73,35,8
74,35,8
75,35,8
76,35,8
77,35,8
78,35,8
79,35,8
80,35,8
81,35,8
82,35,8
83,35,8
84,35,8
85,35,8
86,35,8
87,35,8
88,35,8
89,35,8
90,35,8
91,35,8
92,35,8
93,35,8
94,35,11
95,35,11
96,35,11
97,35,11
98,35,11
99,35,11
100,35,11
101,35,11
102,35,11
103,35,11
104,35,11
105,35,11
106,35,11
107,35,11
108,35,11
109,35,11
110,35,11
111,35,11
112,35,11
113,35,11
114,35,11
115,35,11
116,35,11
117,35,11
118,35,11
4,60,0
5,60,3
6,60,3
7,60,3
8,60,3
9,60,2
10,60,2
11,60,2
12,60,2
13,60,2
14,60,2
15,60,2
16,60,2
17,60,2
18,60,2
19,60,2
20,60,2
21,60,2
22,60,2
23,60,2
24,60,2
25,60,2
26,60,2
27,60,2
28,60,2
29,60,2
30,60,2
31,60,2
32,60,2
33,60,2
34,60,2
35,60,2
36,60,2
37,60,2
38,60,2
39,60,2
40,60,2
41,60,2
42,60,2
43,60,2
44,60,2
45,60,2
46,60,6
47,60,6
48,60,6
49,60,6
50,60,6
51,60,6
52,60,6
53,60,6
54,60,6
55,60,6
4,72,0
5,72,3
6,72,3
7,72,3
8,72,3
9,72,3
10,72,3
11,72,3
12,72,3
13,72,3
14,72,3
15,72,3
16,72,3
17,72,3
18,72,3
19,72,3
20,72,2
21,72,2
22,72,2
23,72,2
24,72,2
25,72,2
26,72,2
27,72,2
28,72,2
29,72,2
30,72,2
31,72,2
32,72,2
33,72,2
34,72,2
35,72,2
36,72,2
37,72,2
38,72,6
39,72,6
40,72,6
41,72,6
42,72,6
43,72,6
4,76,0
5,76,3
6,76,3
7,76,3
8,76,3
9,76,3
10,76,3
11,76,3
12,76,3
13,76,3
14,76,3
15,76,3
16,76,3
17,76,3
18,76,3
19,76,3
20,76,2
21,76,2
22,76,2
23,76,2
24,76,2
25,76,2
26,76,2
27,76,2
28,76,2
29,76,2
30,76,2
31,76,2
32,76,2
33,76,2
34,76,2
35,76,6
36,76,6
37,76,6
38,76,6
39,76,6
16,100,4
17,100,4
18,100,4
19,100,4
20,100,4
21,100,4
22,100,4
23,100,4
24,100,4
25,100,4
26,100,6
27,100,6
28,100,6
29,100,6
30,100,5
31,100,5
32,100,5
33,100,5
34,100,5
35,100,6
36,100,6
37,100,6
38,100,6
39,100,6
40,100,6
41,100,6
42,100,6
43,100,6
44,100,6
45,100,6
46,100,6
47,100,6
41,10,0
42,10,7
43,10,7
44,10,7
45,10,7
46,10,8
47,10,8
48,10,8
49,10,8
50,10,8
51,10,8
52,10,8
53,10,8
40,11,0
41,11,7
42,11,7
43,11,7
44,11,7
45,11,7
46,11,8
47,11,8
48,11,8
49,11,8
50,11,8
51,11,8
52,11,8
53,11,8
54,11,8
55,11,8
38,12,0
39,12,7
40,12,7
41,12,7
42,12,7
43,12,7
44,12,7
45,12,7
46,12,7
47,12,8
48,12,8
49,12,8
50,12,8
51,12,8
52,12,8
53,12,8
54,12,8
55,12,8
56,12,8
57,12,8
37,13,0
38,13,7
39,13,7
40,13,7
41,13,7
42,13,7
43,13,7
44,13,7
45,13,7
46,13,7
47,13,8
48,13,8
49,13,8
50,13,8
51,13,8
52,13,8
53,13,8
54,13,8
55,13,8
56,13,8
57,13,8
58,13,8
36,14,0
37,14,7
38,14,7
39,14,7
40,14,7
41,14,7
42,14,7
43,14,7
44,14,7
45,14,7
46,14,7
47,14,7
48,14,8
49,14,8
50,14,8
51,14,8
52,14,8
53,14,8
54,14,8
55,14,8
56,14,8
57,14,8
58,14,8
59,14,8
36,15,0
37,15,7
38,15,7
39,15,7
40,15,7
41,15,7
42,15,7
43,15,7
44,15,7
45,15,7
46,15,7
47,15,7
48,15,8
49,15,8
50,15,8
51,15,8
52,15,8
53,15,8
54,15,8
55,15,8
56,15,8
57,15,8
58,15,8
59,15,8
60,15,8
61,15,8
62,15,8
63,15,8
64,15,8
65,15,8
34,16,0
35,16,1
36,16,1
37,16,7
38,16,7
39,16,7
40,16,7
41,16,7
42,16,7
43,16,7
44,16,7
45,16,7
46,16,7
47,16,7
48,16,7
49,16,8
50,16,8
51,16,8
52,16,8
53,16,8
54,16,8
55,16,8
56,16,8
57,16,8
58,16,8
59,16,8
60,16,8
61,16,8
62,16,8
63,16,8
64,16,8
65,16,8
32,17,0
33,17,1
34,17,1
35,17,1
36,17,1
37,17,1
38,17,7
39,17,7
40,17,7
41,17,7
42,17,7
43,17,7
44,17,7
45,17,7
46,17,7
47,17,7
48,17,7
49,17,8
50,17,8
51,17,8
52,17,8
53,17,8
54,17,8
55,17,8
56,17,8
57,17,8
58,17,8
59,17,8
60,17,8
61,17,8
62,17,8
63,17,8
64,17,8
65,17,8
24,18,0
25,18,1
26,18,1
27,18,1
31,18,0
32,18,1
33,18,1
34,18,1
35,18,1
36,18,1
37,18,1
38,18,7
39,18,7
40,18,7
41,18,7
42,18,7
43,18,7
44,18,7
45,18,7
46,18,7
47,18,7
48,18,7
49,18,7
50,18,8
51,18,8
52,18,8
53,18,8
54,18,8
55,18,8
56,18,8
57,18,8
58,18,8
59,18,8
60,18,8
61,18,8
62,18,8
63,18,8
64,18,8
65,18,8
23,19,0
24,19,1
25,19,1
26,19,1
27,19,1
31,19,0
32,19,1
33,19,1
34,19,1
35,19,1
36,19,1
37,19,1
38,19,7
39,19,7
40,19,7
41,19,7
42,19,7
43,19,7
44,19,7
45,19,7
46,19,7
47,19,7
48,19,7
49,19,7
50,19,8
51,19,8
52,19,8
53,19,8
54,19,8
55,19,8
56,19,8
57,19,8
58,19,8
59,19,8
60,19,8
61,19,8
62,19,8
63,19,8
64,19,8
65,19,8
23,20,0
24,20,1
25,20,1
26,20,1
27,20,1
31,20,0
32,20,1
33,20,1
34,20,1
